11 was a racehorse, 22 was 12, 1111 race,22112,,,,,,,,,,,,,,,,
2 Y's U R. 2 Y's U B. I C U R. 2 Y's 4 me!,,,,,,,,,,,,,,,,,,,
A big black bear sat on a big black bug.,,,,,,,,,,,,,,,,,,,
A big black bug bit a big black bear and made the big black bear bleed blood.,,,,,,,,,,,,,,,,,,,
A big black bug bit a big black dog on his big black nose!,,,,,,,,,,,,,,,,,,,
A big bug bit a bold bald bear and the bold bald bear bled blood badly.,,,,,,,,,,,,,,,,,,,
A bitter biting bittern bit a better biting bittern and the better biting bittern bit the bitter biting bittern back. Said the bitter biting bittern to the better biting bittern a bitter biting bittern bitten back.,,,,,,,,,,,,,,,,,,,
A bitter biting bittern Bit a better brother bittern, And the bitter better bittern Bit the bitter biter back. And the bitter bittern, bitten, By the better bitten bittern, Said: ?úI?ôm a bitter biter bit, alack!??,,,,,,,,,,,,,,
A black bloke's back brake-block broke.,,,,,,,,,,,,,,,,,,,
A black bug?ôs blood Irish wristwatch Legend tripping Liril,,,,,,,,,,,,,,,,,,,
A bloke?ôs bike back brake block broke.,,,,,,,,,,,,,,,,,,,
A bloke's bike back brake block broke.,,,,,,,,,,,,,,,,,,,
A box of biscuits, a box of mixed biscuits, and a biscuit mixer.,,,,,,,,,,,,,,,,,
A box of biscuits, a batch of mixed biscuits,,,,,,,,,,,,,,,,,,
A canner can can anything that he can, But a canner can?ôt can a can, can he?,,,,,,,,,,,,,,,,,
A canner exceedingly canny, one morning remarked to his granny, a canner can can, anything that he can, but a canner can't can a can; can he?,,,,,,,,,,,,,,,
A certain young fellow named Beebee Wished to marry a lady named Phoebe ?úBut,??he said. ?úI must see What the minister?ôs fee be Before Phoebe be Phoebe Beebee??,,,,,,,,,,,,,,,,,,
A cheap ship trip.,,,,,,,,,,,,,,,,,,,
A cricket critic,,,,,,,,,,,,,,,,,,,
A cunning young canner from Canning once observed to his granny," ""A canner can can a lot of things gran", but a canner can't can a can," can he?"" How many ducks could a duck duct-tape", if a duck could duct-tape ducks?,,,,,,,,,,,,,,,
A cup of proper coffee in a copper coffee cup.,,,,,,,,,,,,,,,,,,,
A cupcake cook in a cupcake cook?ôs cap cooks cupcakes.,,,,,,,,,,,,,,,,,,,
A dozen double damask dinner napkins.,,,,,,,,,,,,,,,,,,,
A dull, dark dock, a life-long lock. A short, sharp shock, a big black block!,,,,,,,,,,,,,,,
A fat thrush flies through thick fog.,,,,,,,,,,,,,,,,,,,
A flea and a fly flew up in a flue. Said the flea, ?úLet us fly!??Said the fly, ?úLet us flee!??So they flew through a flaw in the flue.,,,,,,,,,,,,,,,,,
A flea and a fly in a flue, were imprisoned. So what could they do? Said the fly," ""Let us flee"". Said the flea"," ""Let us fly"". So they flew through a flaw in the flue.",,,,,,,,,,,,,,,,
A fly and flea flew into a flue, said the fly to the flea 'what shall we do?' 'let us fly' said the flea said the fly 'shall we flee' so they flew through a flaw in the flue.,,,,,,,,,,,,,,,,,,
A fly and flea flew into a flue, said the fly to the flea ?òwhat shall we do????òlet us fly??said the flea said the fly ?òshall we flee??so they flew through a flaw in the flue.,,,,,,,,,,,,,,,,,,
A gazillion gigantic grapes gushed gradually giving gophers gooey guts.,,,,,,,,,,,,,,,,,,,
A gazillion gigantic grapes gushed gradually giving gophers gooey guts.,,,,,,,,,,,,,,,,,,,
A gentle judge judges justly.,,,,,,,,,,,,,,,,,,,
A haddock! A haddock! A black-spotted haddock! A black spot On the black back Of a black-spotted haddock!,,,,,,,,,,,,,,,,,,,
A happy hippo hopped and hiccupped.,,,,,,,,,,,,,,,,,,,
A knapsack strap.,,,,,,,,,,,,,,,,,,,
